country,product_gmid,unified_price,resale_price,tender_price,supply_price
CI,663994,0,0,0,0
CI,264433,0,0,0,0
CI,407073,0,0,0,0
CI,355496,0,0,0,0
CI,665401,0,0,0,0
CI,650739,0,0,0,0
CI,627595,0,0,0,0
CI,627597,0,0,0,0
CI,261604,0,0,0,0
CI,261605,0,0,0,0
CI,632896,0,0,0,0
CI,261608,0,0,0,0
CI,261610,0,0,0,0
CI,306220,0,0,0,0
CI,306222,0,0,0,0
CI,306225,0,0,0,0
CI,306226,0,0,0,0
CI,502299,0,0,0,0
CI,476009,0,0,0,0
CI,477015,0,0,0,0
CI,477034,0,0,0,0
CI,476043,0,0,0,0
CI,415360,0,0,0,0
CI,615902,0,0,0,0
CI,250798,0,0,0,0
CI,251781,0,0,0,0
CI,477787,0,0,0,0
CI,477044,0,0,0,0
CI,643215,0,0,0,0
CI,643216,0,0,0,0
CI,641849,0,0,0,0
CI,67294,0,0,0,0
CI,645815,0,0,0,0
CI,626547,0,0,0,0
CI,245298,0,0,0,0
CI,352016,0,0,0,0
CI,370351,0,0,0,0
CI,407096,0,0,0,0
CI,518946,0,0,0,0
CI,505579,0,0,0,0
CI,436418,0,0,0,0
CI,213714,0,0,0,0
CI,258746,0,0,0,0
CI,312451,0,0,0,0
CI,642931,0,0,0,0
CI,506739,0,0,0,0
CI,645820,0,0,0,0
CI,645818,0,0,0,0
CI,645819,0,0,0,0
CI,645817,0,0,0,0
CI,615926,0,0,0,0
CI,263980,0,0,0,0
CI,306632,0,0,0,0
CI,651969,0,0,0,0
CI,653312,0,0,0,0
CI,696080,0,0,0,0
CI,696079,0,0,0,0
CI,652574,0,0,0,0
CI,654229,0,0,0,0
CI,653030,0,0,0,0
CI,693896,0,0,0,0
CI,651777,0,0,0,0
CI,380567,0,0,0,0
CI,62375,0,0,0,0
CI,443925,0,0,0,0
CI,648641,0,0,0,0
CI,298685,0,0,0,0
CI,667138,0,0,0,0
CI,250800,0,0,0,0
CI,371014,0,0,0,0
CI,594660,0,0,0,0
CI,592231,0,0,0,0
CI,655846,0,0,0,0
CI,242086,0,0,0,0
CI,663419,0,0,0,0
CI,686913,0,0,0,0
