country,product_gmid,unified_price,resale_price,tender_price,supply_price
MZ,663986,0,0,0,0
MZ,665371,0,0,0,0
MZ,297260,0,0,0,0
MZ,663987,0,0,0,0
MZ,390465,0,0,0,0
MZ,285368,0,0,0,0
MZ,638521,0,0,0,0
MZ,390470,0,0,0,0
MZ,264456,0,0,0,0
MZ,476933,0,0,0,0
MZ,298685,0,0,0,0
MZ,296593,0,0,0,0
MZ,405018,0,0,0,0
MZ,405039,0,0,0,0
MZ,415360,0,0,0,0
MZ,405069,0,0,0,0
MZ,305478,0,0,0,0
MZ,481580,0,0,0,0
MZ,671568,0,0,0,0
MZ,615926,0,0,0,0
MZ,241634,0,0,0,0
MZ,380554,0,0,0,0
MZ,615902,0,0,0,0
MZ,381782,0,0,0,0
MZ,625681,0,0,0,0
MZ,311168,0,0,0,0
MZ,277954,0,0,0,0
MZ,311166,0,0,0,0
MZ,293665,0,0,0,0
MZ,518946,0,0,0,0
MZ,505579,0,0,0,0
MZ,667138,0,0,0,0
MZ,506704,0,0,0,0
MZ,306216,0,0,0,0
MZ,306217,0,0,0,0
MZ,306218,0,0,0,0
MZ,306219,0,0,0,0
MZ,506739,0,0,0,0
MZ,291024,0,0,0,0
MZ,292174,0,0,0,0
MZ,436433,0,0,0,0
MZ,250800,0,0,0,0
MZ,436418,0,0,0,0
MZ,507364,0,0,0,0
MZ,506742,0,0,0,0
MZ,338199,0,0,0,0
MZ,239907,0,0,0,0
MZ,214082,0,0,0,0
MZ,346666,0,0,0,0
MZ,245296,0,0,0,0
MZ,476941,0,0,0,0
MZ,592685,0,0,0,0
MZ,592684,0,0,0,0
MZ,213714,0,0,0,0
MZ,213711,0,0,0,0
MZ,289137,0,0,0,0
MZ,651777,0,0,0,0
MZ,287550,0,0,0,0
MZ,287552,0,0,0,0
MZ,287553,0,0,0,0
MZ,289138,0,0,0,0
MZ,476712,0,0,0,0
MZ,592705,0,0,0,0
MZ,609071,0,0,0,0
MZ,671597,0,0,0,0
MZ,264980,0,0,0,0
MZ,311122,0,0,0,0
MZ,305928,0,0,0,0
MZ,296505,0,0,0,0
MZ,662889,0,0,0,0
MZ,476518,0,0,0,0
MZ,476630,0,0,0,0
MZ,298689,0,0,0,0
MZ,298691,0,0,0,0
MZ,374872,0,0,0,0
MZ,298693,0,0,0,0
MZ,252039,0,0,0,0
MZ,252040,0,0,0,0
MZ,252041,0,0,0,0
MZ,476960,0,0,0,0
MZ,476714,0,0,0,0
MZ,653312,0,0,0,0
MZ,696079,0,0,0,0
MZ,696080,0,0,0,0
MZ,222428,0,0,0,0
MZ,476716,0,0,0,0
MZ,371014,0,0,0,0
MZ,263269,0,0,0,0
MZ,249438,0,0,0,0
MZ,368552,0,0,0,0
MZ,172136,0,0,0,0
MZ,354950,0,0,0,0
MZ,663992,0,0,0,0
MZ,639608,0,0,0,0
MZ,249439,0,0,0,0
MZ,476715,0,0,0,0
MZ,476997,0,0,0,0
MZ,476996,0,0,0,0
MZ,258746,0,0,0,0
MZ,323469,0,0,0,0
MZ,323468,0,0,0,0
MZ,571696,0,0,0,0
MZ,187750,0,0,0,0
MZ,663995,0,0,0,0
MZ,187747,0,0,0,0
MZ,663996,0,0,0,0
MZ,663998,0,0,0,0
MZ,323473,0,0,0,0
MZ,441208,0,0,0,0
MZ,443299,0,0,0,0
MZ,479387,0,0,0,0
MZ,477825,0,0,0,0
MZ,479530,0,0,0,0
MZ,323470,0,0,0,0
MZ,275807,0,0,0,0
MZ,99114,0,0,0,0
MZ,213847,0,0,0,0
MZ,312451,0,0,0,0
MZ,269210,0,0,0,0
MZ,355560,0,0,0,0
MZ,408003,0,0,0,0
MZ,624774,0,0,0,0
MZ,283389,0,0,0,0
MZ,298698,0,0,0,0
MZ,357266,0,0,0,0
MZ,361913,0,0,0,0
MZ,223595,0,0,0,0
MZ,475271,0,0,0,0
MZ,261608,0,0,0,0
MZ,298706,0,0,0,0
MZ,298707,0,0,0,0
MZ,213848,0,0,0,0
MZ,636825,0,0,0,0
MZ,298709,0,0,0,0
MZ,298711,0,0,0,0
MZ,592231,0,0,0,0
MZ,263980,0,0,0,0
MZ,306632,0,0,0,0
MZ,39171,0,0,0,0
MZ,310637,0,0,0,0
MZ,694156,0,0,0,0
MZ,414074,0,0,0,0
MZ,413689,0,0,0,0
MZ,340973,0,0,0,0
MZ,655846,0,0,0,0
MZ,671637,0,0,0,0
MZ,671639,0,0,0,0
MZ,242086,0,0,0,0
MZ,481300,0,0,0,0
MZ,269069,0,0,0,0
MZ,90099,0,0,0,0
MZ,489540,0,0,0,0
MZ,54430,0,0,0,0
MZ,489541,0,0,0,0
MZ,516143,0,0,0,0
MZ,592979,0,0,0,0
MZ,592980,0,0,0,0
MZ,592989,0,0,0,0
MZ,54431,0,0,0,0
MZ,627595,0,0,0,0
MZ,627597,0,0,0,0
MZ,282345,0,0,0,0
MZ,282319,0,0,0,0
MZ,282348,0,0,0,0
MZ,627062,0,0,0,0
MZ,209742,0,0,0,0
MZ,168279,0,0,0,0
MZ,545747,0,0,0,0
MZ,612011,0,0,0,0
MZ,223652,0,0,0,0
MZ,476947,0,0,0,0
MZ,477012,0,0,0,0
MZ,477044,0,0,0,0
MZ,62375,0,0,0,0
MZ,224948,0,0,0,0
MZ,476624,0,0,0,0
MZ,652485,0,0,0,0
MZ,655329,0,0,0,0
MZ,651766,0,0,0,0
MZ,68141,0,0,0,0
MZ,355496,0,0,0,0
MZ,477787,0,0,0,0
MZ,67933,0,0,0,0
MZ,306225,0,0,0,0
MZ,251781,0,0,0,0
MZ,306222,0,0,0,0
MZ,247832,0,0,0,0
MZ,247831,0,0,0,0
MZ,306226,0,0,0,0
MZ,306220,0,0,0,0
MZ,250798,0,0,0,0
MZ,263707,0,0,0,0
MZ,263703,0,0,0,0
MZ,191391,0,0,0,0
MZ,158893,0,0,0,0
MZ,159086,0,0,0,0
MZ,293791,0,0,0,0
MZ,191379,0,0,0,0
MZ,190104,0,0,0,0
MZ,190107,0,0,0,0
MZ,190106,0,0,0,0
MZ,515284,0,0,0,0
MZ,316433,0,0,0,0
MZ,250545,0,0,0,0
MZ,592475,0,0,0,0
MZ,332328,0,0,0,0
MZ,592504,0,0,0,0
MZ,227380,0,0,0,0
MZ,511293,0,0,0,0
MZ,510643,0,0,0,0
MZ,188840,0,0,0,0
MZ,188841,0,0,0,0
MZ,272453,0,0,0,0
MZ,519330,0,0,0,0
MZ,192775,0,0,0,0
MZ,592560,0,0,0,0
MZ,278343,0,0,0,0
MZ,29585,0,0,0,0
MZ,389144,0,0,0,0
MZ,29649,0,0,0,0
MZ,389146,0,0,0,0
MZ,29612,0,0,0,0
MZ,389142,0,0,0,0
MZ,298191,0,0,0,0
MZ,58604,0,0,0,0
MZ,272773,0,0,0,0
MZ,592632,0,0,0,0
MZ,600314,0,0,0,0
MZ,600315,0,0,0,0
MZ,329051,0,0,0,0
MZ,328228,0,0,0,0
MZ,611636,0,0,0,0
MZ,296329,0,0,0,0
MZ,296331,0,0,0,0
MZ,328151,0,0,0,0
MZ,611613,0,0,0,0
MZ,328213,0,0,0,0
MZ,611618,0,0,0,0
MZ,328216,0,0,0,0
MZ,611633,0,0,0,0
MZ,328226,0,0,0,0
MZ,611635,0,0,0,0
MZ,436427,0,0,0,0
MZ,192768,0,0,0,0
MZ,335666,0,0,0,0
MZ,480578,0,0,0,0
MZ,511532,0,0,0,0
MZ,190071,0,0,0,0
MZ,411383,0,0,0,0
MZ,196179,0,0,0,0
MZ,192637,0,0,0,0
MZ,192636,0,0,0,0
MZ,569252,0,0,0,0
MZ,188850,0,0,0,0
MZ,592735,0,0,0,0
MZ,421873,0,0,0,0
MZ,592778,0,0,0,0
MZ,592782,0,0,0,0
MZ,592781,0,0,0,0
MZ,316979,0,0,0,0
MZ,544575,0,0,0,0
MZ,592806,0,0,0,0
MZ,544576,0,0,0,0
MZ,425957,0,0,0,0
MZ,195146,0,0,0,0
MZ,323076,0,0,0,0
MZ,14820,0,0,0,0
MZ,529654,0,0,0,0
MZ,14901,0,0,0,0
MZ,13196,0,0,0,0
MZ,480201,0,0,0,0
MZ,537710,0,0,0,0
MZ,365768,0,0,0,0
MZ,365770,0,0,0,0
MZ,539414,0,0,0,0
MZ,192750,0,0,0,0
MZ,636858,0,0,0,0
MZ,292037,0,0,0,0
MZ,626998,0,0,0,0
MZ,678014,0,0,0,0
MZ,642941,0,0,0,0
MZ,518938,0,0,0,0
MZ,632425,0,0,0,0
MZ,628390,0,0,0,0
