country,GMID,"Unified Price
EUR ","Target Resell price
EUR","Tender Price
EUR ","Supply Price
EUR",promotion
,475982,0.76,0.8,0.722,0.76,
,475875,19.16,20,19,19,
,539185,13.29,14.5,11.02,13.775,
,539183,12.94,14,10.64,13.3,
,539181,14.94,16,12.16,15.2,
,539182,14.03,15,11.4,14.25,
,196680,12.75,13.67,10.3892,12.9865,
,196681,13.52,14.4,11.2973,13.68,
,281498,1.02,1.15,0.874,1.0925,
,298801,1.96,2.03,,1.9285,
,281499,1.07,1.17,0.8892,1.1115,
,281500,1.31,1.44,1.0944,1.368,
,354883,0.94,1,0.8075,0.95,
,698116,1.01,1.05,0.798,0.9975,
,551042,5.46,5.64,4.2864,5.358,
,551043,2.71,2.85,2.166,2.7075,
,247831,12.88,13.87,10.5412,13.1765,
,515056,12.88,13.87,10.5412,13.1765,
,247832,14.05,14.4,12.9235,13.68,
,514930,14.05,14.4,12.9235,13.68,
,320343,2.91,3.07,2.3332,2.9165,
,305481,5.86,6.05,4.598,5.7475,
,305479,1.39,1.45,1.102,1.3775,
,681573,6.5,7.45,5.662,7.0775,
,624625,2.31,2.39,2.2705,2.2705,
,681801,2.31,2.39,2.2705,2.2705,
,630763,5.83,5.95,6.05,5.6525,
,681805,5.83,5.95,6.05,5.6525,
,625765,3.66,3.89,3.3535,3.6955,
,735804,3.66,3.89,3.3535,3.6955,
,625767,3.4,3.6,3.1065,3.42,
,240939,5.04,5.31,4.0356,5.0445,
,611732,2.51,2.64,2.0064,2.508,
,627331,0.93,0.99,0.7524,0.9405,
,627329,0.85,0.9,0.684,0.855,
,627332,0.93,0.99,0.7524,0.9405,
,627328,0.85,0.9,0.684,0.855,
,624480,0.87,0.9,0.684,0.855,
,627314,0.93,0.99,0.7524,0.9405,
,627327,0.85,0.9,0.684,0.855,
,626997,0.92,0.99,0.7524,0.9405,
,627326,0.85,0.9,,0.855,
,626630,1,1.05,0.9477,0.9975,
,292037,0.94,1.05,,0.9975,
,627330,0.83,0.86,0.6536,0.817,
,686669,0.89,0.91,0.7781,0.8645,
,624479,0.89,0.91,0.7781,0.8645,
,626998,1.25,1.25,0.95,1.1875,
,627160,1.8,1.95,1.482,1.8525,
,671538,2.27,2.43,1.8468,2.3085,
,664051,2.37,3.18,2.4168,3.021,
,642941,1.75,1.84,1.3984,1.748,
,476956,4.32,4.55,3.458,4.3225,
,476963,6.5,6.25,4.75,5.9375,
,476955,1.76,1.85,1.406,1.7575,
,476954,2.85,3,2.28,2.85,
,625674,1.12,1.22,1.0431,1.159,
,285368,2.74,2.87,2.1812,2.7265,
,405018,3.03,3.7,,3.515,
,625681,2.32,3.51,2.6676,3.3345,
,518938,0.76,0.8,0.76,0.76,
,311168,1.9,1.99,1.5124,1.8905,
,311166,1.19,1.24,0.9424,1.178,
,657471,4.24,4.47,3.7678,4.2465,
,657473,6.11,6.28,4.7728,5.966,
,657474,8.12,8.34,6.3384,7.923,
,657477,9.34,9.6,7.296,9.12,
,239907,1.31,1.46,,1.387,
,647515,1.31,1.46,,1.387,
,292174,2.31,2.5,1.9,2.375,
,436433,1.49,1.72,1.3072,1.634,
,642586,1.49,1.72,1.3072,1.634,
,214082,1.89,1.93,1.6502,1.8335,
,289137,4.49,4.93,3.7468,4.6835,
,508116,4.49,4.93,3.7468,4.6835,
,289138,1.02,1.07,0.8132,1.0165,
,609071,1.24,1.31,0.9956,1.2445,
,671597,1.55,1.67,1.2692,1.5865,
,311122,2.29,2.59,1.9684,2.4605,
,476712,1.9,2,1.52,1.9,
,632425,4.53,4.5,3.42,4.275,
,298689,6.18,6.49,4.9324,6.1655,
,374872,7.1,7.12,5.4112,6.764,
,298691,7.4,7.53,5.7228,7.1535,
,298693,4.41,4.31,3.2756,4.0945,
,698117,3.09,3.5,2.6600,3.325,
,544062,16.83,18.72,14.2272,17.784,
,222428,16.83,18.72,14.2272,17.784,
,639164,1.85,1.91,1.4516,1.8145,
,540717,1.35,1.44,1.0944,1.368,
,172136,33.55,35.37,31.9215,33.6015,
,671609,2.61,2.7,2.052,2.565,
,639608,1.51,1.57,1.1932,1.4915,
,571696,13,13.57,10.3132,12.8915,
,187750,2.67,2.81,2.1356,2.6695,
,187747,4.11,4.41,3.3516,4.1895,
,479387,1.44,1.52,1.1552,1.444,
,479530,1.63,1.67,1.2692,1.5865,
,323470,2.6,2.74,2.0824,2.603,
,323473,1.23,0.92,0.874,0.874,
,624775,3.52,3.7,,3.515,
,624774,3.48,3.66,,3.477,
,298698,6.52,6.86,5.2136,6.517,
,636827,2.61,2.44,1.8544,2.318,
,298711,3.26,3.43,2.6068,3.2585,
,694156,12.24,10.2,7.752,9.69,
,310637,8.78,7.75,5.89,7.3625,
,413689,45.8,58,44.08,55.1,
,414074,106.4,174,132.24,165.3,
,671637,2.97,3.16,2.4016,3.002,
,671639,6.17,6.49,4.9324,6.1655,
,269069,1.82,1.97,1.4972,1.8715,
