GMID,Quantity,Expiration_Date
67933,772,2020-10-31
663984,24121,2023-12-31
663984,28996,2024-01-31
663984,29314,2024-01-31
642941,4930,2021-12-31
642941,5865,2022-01-31
642941,18880,2022-02-28
642941,25600,2022-01-31
663985,1,2023-12-31
663985,3,2023-11-30
663985,4,2023-11-30
663985,9,2023-12-31
663985,12,2023-12-31
663985,20321,2024-03-31
663985,20560,2024-02-29
663985,20811,2024-03-31
663985,20843,2024-03-31
663985,20984,2024-03-31
663985,20984,2024-03-31
663985,21174,2024-03-31
663985,21184,2024-03-31
476963,1,2020-08-31
476963,27,2020-12-31
476963,3681,2020-12-31
476955,7846,2020-12-31
476955,8592,2020-12-31
476956,10200,2020-12-31
476956,10689,2020-12-31
477015,2907,2020-05-31
477015,15600,2020-08-31
477015,28020,2020-07-31
476954,4536,2020-12-31
476043,6565,2020-09-30
476043,8847,2020-08-31
663986,90498,2021-07-31
665371,5435,2022-09-30
297260,4074,2021-08-31
663987,753,2021-07-31
285368,1651,2020-10-31
698115,4715,2022-01-31
698115,7718,2021-08-31
698115,8064,2022-02-28
698115,27972,2022-02-28
698115,28158,2022-02-28
698115,31019,2021-12-31
698115,31264,2021-12-31
698115,31494,2021-12-31
698115,31584,2022-01-31
698115,31788,2021-12-31
698115,31920,2022-02-28
698115,32112,2022-01-31
698115,32592,2022-02-28
698115,32814,2022-02-28
698115,32862,2022-02-28
698115,32928,2022-02-28
405018,8210,2020-11-30
405039,761,2019-10-31
405039,5990,2020-08-31
405039,14992,2019-08-31
671563,19,2020-12-31
671563,4881,2020-12-31
311168,163920,2022-01-31
311166,30392,2021-10-31
293665,4,2020-11-30
293665,171,2020-11-30
505579,4524,2021-09-30
505579,22126,2021-09-30
306216,422,2020-07-31
306218,4290,2020-10-31
306219,6991,2021-03-31
239907,1,2021-08-31
239907,9021,2021-09-30
239907,32496,2021-09-30
239907,33917,2021-10-31
239907,36380,2021-10-31
239907,36720,2021-11-30
239907,37620,2021-10-31
291024,5804,2020-09-30
291024,16759,2020-09-30
292174,5,2022-02-28
292174,104,2022-01-31
292174,3288,2022-02-28
436433,5072,2024-01-31
436433,8375,2023-12-31
436433,21527,2024-01-31
436433,21528,2024-02-29
214082,1325,2020-10-31
346666,1,2020-08-31
346666,1166,2020-08-31
245296,5,2020-08-31
245296,25304,2021-02-28
355496,2,2020-01-31
213714,147,2021-08-31
213714,162,2021-03-31
287552,1,2021-12-31
287550,509,2021-11-30
287550,26022,2021-12-31
